codec,corpus,direction,level,block,ratio,throughput_MBps,p50_us,p99_us,p999_us,cpu_frac,cores_freed
sw-zstd,egress-6-280108b.bin,decompress,3,8192,0.1144,1117.3,7.33,7.41,7.41,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,3,16384,0.1206,548.3,29.82,31.57,32.86,1.001,0.000
sw-zstd,egress-6-280108b.bin,decompress,3,16384,0.1206,1071.6,15.24,16.08,19.32,1.001,0.000
sw-zstd,egress-6-280108b.bin,compress,3,32768,0.1236,551.1,59.42,60.30,60.38,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,3,32768,0.1236,1057.9,30.90,32.85,32.91,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,3,65536,0.1253,558.9,116.76,122.49,124.64,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,3,65536,0.1253,1092.9,59.88,61.79,61.80,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,3,131072,0.1309,531.1,245.06,257.78,258.32,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,3,131072,0.1309,989.5,132.15,136.93,138.11,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,3,0,0.2624,672.8,415.68,433.88,434.32,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,3,0,0.2624,1106.0,253.01,258.15,258.74,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,6,8192,0.1139,140.8,58.10,59.48,59.86,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,6,8192,0.1139,1125.3,7.27,7.54,7.59,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,6,16384,0.1203,145.6,112.07,116.98,118.65,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,6,16384,0.1203,1071.4,15.22,19.01,19.51,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,6,32768,0.1237,177.6,182.43,195.91,197.00,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,6,32768,0.1237,1060.4,30.81,33.02,34.95,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,6,65536,0.1253,175.3,369.07,402.08,405.01,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,6,65536,0.1253,1094.2,59.78,63.87,64.15,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,6,131072,0.1309,176.1,739.31,790.71,809.22,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,6,131072,0.1309,991.0,132.15,134.01,134.28,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,6,0,0.2360,210.3,1328.82,1382.38,1385.11,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,6,0,0.2360,1277.0,219.28,221.18,221.37,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,9,8192,0.1139,28.7,286.36,292.88,293.84,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,9,8192,0.1139,1124.3,7.28,7.36,7.59,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,9,16384,0.1203,26.2,627.31,636.86,640.26,0.999,0.001
sw-zstd,egress-6-280108b.bin,decompress,9,16384,0.1203,1074.7,15.23,16.03,16.07,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,9,32768,0.1237,69.3,472.48,486.84,487.79,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,9,32768,0.1237,1062.5,30.81,31.58,31.65,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,9,65536,0.1253,68.1,964.51,984.57,987.39,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,9,65536,0.1253,1095.6,59.78,60.61,60.65,1.000,0.000
sw-zstd,egress-6-280108b.bin,compress,9,131072,0.1309,72.7,1803.73,1913.83,1918.45,1.000,0.000
sw-zstd,egress-6-280108b.bin,decompress,9,131072,0.1309,990.5,132.14,135.64,136.30,1.000,0.000
